fold,seed,layer,acc,epoch
4,62,4,0.88,76
4,62,5,0.91,77
4,62,6,0.92,74
4,62,7,0.93,97
4,62,8,0.93,66
4,62,9,0.9275,77
4,62,10,0.93,66
4,62,11,0.9275,78
4,63,0,0.405,77
4,63,1,0.715,82
4,63,2,0.81,62
4,63,3,0.8375,68
4,63,4,0.88,37
4,63,5,0.9075,61
4,63,6,0.9125,71
4,63,7,0.9175,83
4,63,8,0.9225,81
4,63,9,0.9225,92
4,63,10,0.9275,80
4,63,11,0.925,59
4,64,0,0.3825,81
4,64,1,0.735,71
4,64,2,0.8175,85
4,64,3,0.8425,78
4,64,4,0.8775,83
4,64,5,0.9025,51
4,64,6,0.915,87
4,64,7,0.9175,83
4,64,8,0.92,83
4,64,9,0.9225,71
4,64,10,0.9225,84
4,64,11,0.9275,84
4,65,0,0.4125,74
4,65,1,0.74,60
4,65,2,0.8175,46
4,65,3,0.845,45
4,65,4,0.88,49
4,65,5,0.9125,29
4,65,6,0.91,76
4,65,7,0.9225,70
4,65,8,0.9275,70
4,65,9,0.9225,70
4,65,10,0.9275,76
4,65,11,0.93,76
4,66,0,0.4025,77
4,66,1,0.71,74
4,66,2,0.805,75
4,66,3,0.855,50
4,66,4,0.8925,65
4,66,5,0.92,89
4,66,6,0.93,92
4,66,7,0.93,43
4,66,8,0.9375,43
4,66,9,0.93,64
4,66,10,0.9325,64
4,66,11,0.93,71
4,67,0,0.3925,81
4,67,1,0.7375,49
4,67,2,0.83,83
4,67,3,0.8475,76
4,67,4,0.87,33
4,67,5,0.91,79
4,67,6,0.91,15
4,67,7,0.9175,69
4,67,8,0.92,82
4,67,9,0.9175,74
4,67,10,0.9175,70
4,67,11,0.93,91
4,68,0,0.4075,89
4,68,1,0.7375,55
4,68,2,0.8075,60
4,68,3,0.8625,58
4,68,4,0.88,58
4,68,5,0.91,82
4,68,6,0.925,80
4,68,7,0.93,80
4,68,8,0.9275,73
4,68,9,0.9325,73
4,68,10,0.93,76
4,68,11,0.9275,76
4,69,0,0.3975,80
4,69,1,0.7275,69
4,69,2,0.8125,51
4,69,3,0.84,38
4,69,4,0.8775,86
